composer,title,split,performer,model,recording,melody_kor_corr_64,bass_kor_corr_64,ratio_kor_corr_64,melody_kor_corr_127,bass_kor_corr_127,ratio_kor_corr_127
Bach,Fugue_bwv_848,train,Mizumoto03M,kong,disklavier,0.1525,0.4043,0.4336,0.1526,0.4062,0.4329
Bach,Fugue_bwv_848,train,SunY01M,kong,maestro,0.7008,0.7863,0.7353,0.6965,0.7853,0.7346
Bach,Fugue_bwv_848,train,SunY01M,oaf,maestro,0.5511,0.5927,0.4975,0.5511,0.5927,0.4975
Bach,Fugue_bwv_848,train,SunY01M,T5,maestro,0.1686,0.3946,0.2066,0.1686,0.3946,0.2066
Bach,Fugue_bwv_848,train,SunY01M,kong,disklavier,0.0991,0.3671,0.2671,0.097,0.3673,0.2709
Bach,Fugue_bwv_848,train,SunY01M,oaf,disklavier,0.0957,0.3323,0.2394,0.0957,0.3323,0.2394
Bach,Fugue_bwv_848,train,SunY01M,T5,disklavier,0.0819,0.1315,0.2296,0.0819,0.1315,0.2296
Bach,Fugue_bwv_848,train,Zhou01M,kong,maestro,0.8047,0.7987,0.8467,0.8047,0.7987,0.8467
Bach,Fugue_bwv_848,train,Zhou01M,oaf,maestro,0.7954,0.7462,0.8534,0.7954,0.7462,0.8534
Bach,Fugue_bwv_848,train,Zhou01M,T5,maestro,0.1896,0.1235,0.2789,0.1896,0.1235,0.2789
Bach,Fugue_bwv_848,train,Zhou01M,T5,disklavier,0.0074,0.0494,0.038,0.0074,0.0494,0.038
Bach,Fugue_bwv_848,train,Zhou01M,oaf,disklavier,0.1899,0.2322,0.1205,0.1899,0.2322,0.1205
Bach,Fugue_bwv_848,train,Zhou01M,kong,disklavier,0.2465,0.2532,0.1412,0.2465,0.2533,0.1412
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,T5,maestro,0.2043,0.3302,0.2793,0.2043,0.3302,0.2793
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,kong,maestro,0.8828,0.8699,0.8684,0.4506,0.5791,0.6762
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,oaf,maestro,0.2469,0.2336,0.5358,0.2469,0.2336,0.5358
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,T5,disklavier,0.1843,0.0582,0.0825,0.1843,0.0582,0.0825
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,kong,disklavier,0.4642,0.2849,0.4153,0.2917,0.0705,0.2752
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,oaf,disklavier,0.2447,0.0576,0.286,0.2447,0.0576,0.286
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,T5,maestro,0.2115,0.2987,0.1961,0.2115,0.2987,0.1961
