composer,title,split,performer,model,recording,melody_ioi_corr,acc_ioi_corr,ratio_ioi_corr,melody_ioi_dtw_dist,acc_ioi_dtw_dist,melody_ioi_hist_kld,acc_ioi_hist_kld
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,kong,disklavier,0.1999,0.1713,0.0,1127.0,3945.0,0.7091,0.538
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,oaf,maestro,0.8046,0.6187,0.0,1373.0,4310.0,3.9898,6.901
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,kong,maestro,0.7385,0.5112,0.0,607.0,1619.0,0.0844,0.1348
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,T5,maestro,0.0702,0.113,0.0,2114.0,10385.0,0.0991,0.1286
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,T5,disklavier,0.1409,0.1358,0.0,2889.0,11294.0,0.3962,0.3896
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,oaf,disklavier,0.3673,0.1152,0.0,1204.0,3204.0,3.9068,6.7361
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,kong,disklavier,0.3181,0.1316,0.0,1055.0,2588.0,0.2948,0.5241
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,T5,maestro,0.1494,0.5173,0.0,2466.0,7476.0,0.203,0.0978
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,kong,maestro,0.6347,0.5421,0.0,1082.0,3271.0,0.0312,0.1192
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,oaf,maestro,0.8243,0.6157,0.0,1034.0,3192.0,3.1036,6.4969
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,kong,disklavier,0.3874,0.214,0.0,1155.0,4348.0,0.297,0.446
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,T5,disklavier,0.1014,0.2037,0.0,3786.0,9357.0,0.188,0.3321
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,oaf,disklavier,0.4112,0.2126,0.0,1326.0,4348.0,3.0826,6.3808
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,oaf,maestro,0.8133,0.6697,0.0,1474.0,3892.0,3.308,6.1434
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,kong,maestro,0.791,0.6233,0.0,689.0,1828.0,0.0629,0.1092
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,T5,maestro,0.0174,0.5653,0.0,5355.0,5814.0,0.2555,0.0972
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,kong,disklavier,0.4431,0.1579,0.0,1351.0,4324.0,0.6241,0.4323
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,T5,disklavier,0.1474,0.1994,0.0,3704.0,9693.0,0.396,0.301
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,oaf,disklavier,0.5421,0.1603,0.0,1687.0,4682.0,3.2594,6.0258
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,T5,maestro,0.044,0.4512,0.0,2308.0,5050.0,0.1653,0.1033
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,kong,maestro,0.7279,0.6185,0.0,679.0,2068.0,0.2942,0.0896
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,oaf,maestro,0.829,0.5783,0.0,1287.0,2799.0,2.4365,6.321
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,kong,disklavier,0.246,0.1417,0.0,1549.0,2718.0,0.8424,0.7448
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,oaf,disklavier,0.2852,0.1325,0.0,1469.0,3091.0,2.4938,6.1681
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,T5,disklavier,0.0898,0.1186,0.0,5652.0,9693.0,0.7381,0.622
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,oaf,maestro,0.7919,0.5243,0.0,1316.0,4217.0,3.3159,6.5705
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,kong,maestro,0.6143,0.5004,0.0,702.0,1727.0,0.1457,0.1077
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,T5,maestro,0.076,0.2546,0.0,2801.0,6493.0,0.0816,0.0766
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,oaf,disklavier,0.4633,0.1947,0.0,1464.0,3507.0,3.2061,6.433
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,T5,disklavier,0.1106,0.2051,0.0,2439.0,7772.0,0.3258,0.4141
