composer,title,split,model,recording,p_no,r_no,f_no,reverb,snr
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0,0.0,0.0,norev,6
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.0071,0.0037,0.0049,norev,6
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.444,0.4146,0.4288,norev,6
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.3733,0.4233,0.3967,s,nonoise
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.5024,0.5589,0.5291,s,nonoise
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.4506,0.437,0.4437,s,nonoise
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0078,0.0066,0.0072,s,24
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.4752,0.493,0.4839,s,24
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.4391,0.4274,0.4332,s,24
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0041,0.0012,0.0019,s,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.0046,0.0033,0.0039,s,12
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.404,0.3847,0.3941,s,12
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0,0.0,0.0,s,6
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.0044,0.0012,0.0019,s,6
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.0066,0.0058,0.0062,s,6
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0557,0.1356,0.079,m,nonoise
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.3171,0.4046,0.3556,m,nonoise
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.4287,0.3864,0.4065,m,nonoise
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0039,0.0025,0.003,m,24
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.3058,0.2799,0.2923,m,24
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.4059,0.3657,0.3847,m,24
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0,0.0,0.0,m,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.0051,0.0008,0.0014,m,12
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.3796,0.3387,0.358,m,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.0,0.0,0.0,m,6
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.0069,0.0033,0.0045,m,6
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0426,0.1202,0.0629,l,nonoise
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.0826,0.1534,0.1074,l,nonoise
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.2325,0.209,0.2201,l,nonoise
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0024,0.0017,0.002,l,24
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.007,0.0058,0.0063,l,24
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.2159,0.1986,0.2069,l,24
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0,0.0,0.0,l,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.0,0.0,0.0,l,12
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.0146,0.0133,0.0139,l,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.0,0.0,0.0,l,6
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.0074,0.0033,0.0046,l,6
