composer,title,split,model,recording,cd_corr,cm_corr,ts_corr,reverb,snr
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.8255,0.2919,0.7134,s,nonoise
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.5664,0.2454,0.1317,s,24
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.7556,0.3075,-0.1086,s,24
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.8907,0.5075,0.7996,s,24
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.3352,0.1696,-0.0971,s,12
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.5978,0.2111,-0.0129,s,12
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.8005,0.2873,0.5689,s,12
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.3286,0.1787,-0.1176,s,6
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.4378,0.1541,0.0681,s,6
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.7499,0.2857,0.4303,s,6
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.4339,0.2221,0.3171,m,nonoise
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.6609,0.22,0.5324,m,nonoise
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.9186,0.8022,0.8651,m,nonoise
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.407,0.145,-0.0343,m,24
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.7326,0.2211,0.4352,m,24
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.9128,0.7789,0.9044,m,24
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.3326,0.1681,-0.1161,m,12
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.4407,0.143,-0.0291,m,12
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.774,0.2615,0.4457,m,12
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.3168,0.1673,0.0367,m,6
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.4202,0.1484,0.0112,m,6
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.3761,0.0716,0.2787,m,6
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.2593,0.0837,0.3196,l,nonoise
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.5963,0.1494,0.0547,l,nonoise
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.8021,0.2933,0.6407,l,nonoise
