composer,title,split,performer,model,recording,p_no,r_no,f_no
Beethoven,Piano_Sonatas_21-1,train,Song03M,kong,disklavier,0.7902,0.805,0.7976
Beethoven,Piano_Sonatas_21-1,train,Song03M,T5,disklavier,0.6141,0.6731,0.6422
Beethoven,Piano_Sonatas_21-1,train,SunY02M,T5,maestro,0.8733,0.864,0.8686
Beethoven,Piano_Sonatas_21-1,train,SunY02M,oaf,maestro,0.7473,0.7388,0.743
Beethoven,Piano_Sonatas_21-1,train,SunY02M,kong,maestro,0.9547,0.9515,0.9531
Beethoven,Piano_Sonatas_21-1,train,SunY02M,oaf,disklavier,0.577,0.5606,0.5687
Beethoven,Piano_Sonatas_21-1,train,SunY02M,kong,disklavier,0.8213,0.8336,0.8274
Beethoven,Piano_Sonatas_21-1,train,SunY02M,T5,disklavier,0.6219,0.6607,0.6407
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,kong,maestro,0.8592,0.8467,0.8529
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,T5,maestro,0.8235,0.7947,0.8089
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,oaf,maestro,0.5274,0.5064,0.5167
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,oaf,disklavier,0.6854,0.6599,0.6724
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,T5,disklavier,0.62,0.633,0.6264
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,kong,disklavier,0.7867,0.7874,0.787
Beethoven,Piano_Sonatas_21-1,train,ToA02M,oaf,maestro,0.8676,0.861,0.8643
Beethoven,Piano_Sonatas_21-1,train,ToA02M,T5,maestro,0.9133,0.9021,0.9076
Beethoven,Piano_Sonatas_21-1,train,ToA02M,kong,maestro,0.9501,0.9471,0.9486
Beethoven,Piano_Sonatas_21-1,train,ToA02M,kong,disklavier,0.8688,0.873,0.8709
Beethoven,Piano_Sonatas_21-1,train,ToA02M,oaf,disklavier,0.2719,0.2662,0.269
Beethoven,Piano_Sonatas_21-1,train,ToA02M,T5,disklavier,0.7207,0.7494,0.7348
Beethoven,Piano_Sonatas_21-1,train,TongB03M,kong,maestro,0.9455,0.9382,0.9419
Beethoven,Piano_Sonatas_21-1,train,TongB03M,oaf,maestro,0.8398,0.8279,0.8338
Beethoven,Piano_Sonatas_21-1,train,TongB03M,T5,maestro,0.869,0.854,0.8615
Beethoven,Piano_Sonatas_21-1,train,TongB03M,T5,disklavier,0.6305,0.6607,0.6452
Beethoven,Piano_Sonatas_21-1,train,TongB03M,kong,disklavier,0.7811,0.7838,0.7824
Beethoven,Piano_Sonatas_21-1,train,TongB03M,oaf,disklavier,0.6833,0.6662,0.6746
Beethoven,Piano_Sonatas_21-1,train,WangA02M,T5,maestro,0.9116,0.8933,0.9024
Beethoven,Piano_Sonatas_21-1,train,WangA02M,kong,maestro,0.9491,0.9454,0.9472
Beethoven,Piano_Sonatas_21-1,train,WangA02M,oaf,maestro,0.6793,0.6722,0.6758
Beethoven,Piano_Sonatas_21-1,train,WangA02M,oaf,disklavier,0.4557,0.4446,0.4501
Beethoven,Piano_Sonatas_21-1,train,WangA02M,kong,disklavier,0.8353,0.8373,0.8363
Beethoven,Piano_Sonatas_21-1,train,WangA02M,T5,disklavier,0.7369,0.7454,0.7411
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,kong,maestro,0.947,0.9443,0.9457
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,oaf,maestro,0.8001,0.7867,0.7933
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,T5,maestro,0.8373,0.8244,0.8308
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,T5,disklavier,0.6095,0.6477,0.628
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,oaf,disklavier,0.7265,0.7103,0.7183
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,kong,disklavier,0.841,0.8533,0.8472
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,T5,maestro,0.8996,0.8844,0.8919
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,oaf,maestro,0.4903,0.483,0.4866
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,kong,maestro,0.9212,0.9156,0.9184
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,kong,disklavier,0.7505,0.7518,0.7512
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,oaf,disklavier,0.6827,0.6634,0.6729
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,T5,disklavier,0.6346,0.6578,0.646
Chopin,Scherzos_31,train,ChenW04M,kong,maestro,0.9238,0.9014,0.9125
Chopin,Scherzos_31,train,ChenW04M,oaf,maestro,0.707,0.6721,0.6891
Chopin,Scherzos_31,train,ChenW04M,T5,maestro,0.7397,0.7082,0.7236
Chopin,Scherzos_31,train,ChenW04M,oaf,disklavier,0.6483,0.5998,0.6231
Chopin,Scherzos_31,train,ChenW04M,T5,disklavier,0.3758,0.4108,0.3925
Chopin,Scherzos_31,train,ChenW04M,kong,disklavier,0.7288,0.7275,0.7281
Chopin,Scherzos_31,train,HuNY08M,oaf,maestro,0.7654,0.74,0.7525
Chopin,Scherzos_31,train,HuNY08M,kong,maestro,0.9429,0.9293,0.9361
Chopin,Scherzos_31,train,HuNY08M,T5,maestro,0.7854,0.7604,0.7727
Chopin,Scherzos_31,train,HuNY08M,T5,disklavier,0.4338,0.4517,0.4426
Chopin,Scherzos_31,train,HuNY08M,kong,disklavier,0.7669,0.7641,0.7655
Chopin,Scherzos_31,train,HuNY08M,oaf,disklavier,0.692,0.6505,0.6706
Chopin,Scherzos_31,train,Jussow11M,kong,maestro,0.9329,0.9184,0.9256
Chopin,Scherzos_31,train,Jussow11M,oaf,maestro,0.6721,0.6318,0.6513
Chopin,Scherzos_31,train,Jussow11M,T5,maestro,0.7379,0.7101,0.7238
Chopin,Scherzos_31,train,Jussow11M,kong,disklavier,0.7332,0.725,0.7291
Chopin,Scherzos_31,train,Jussow11M,T5,disklavier,0.4147,0.4155,0.4151
Chopin,Scherzos_31,train,Jussow11M,oaf,disklavier,0.6044,0.555,0.5787
Chopin,Scherzos_31,train,LeeN04M,T5,maestro,0.7652,0.7428,0.7538
Chopin,Scherzos_31,train,LeeN04M,oaf,maestro,0.7346,0.7103,0.7222
Chopin,Scherzos_31,train,LeeN04M,kong,maestro,0.9361,0.9221,0.9291
Chopin,Scherzos_31,train,LeeN04M,T5,disklavier,0.3718,0.3998,0.3853
Chopin,Scherzos_31,train,LeeN04M,kong,disklavier,0.7378,0.7433,0.7406
Chopin,Scherzos_31,train,LeeN04M,oaf,disklavier,0.6585,0.6229,0.6402
Chopin,Scherzos_31,train,LinTami06M,T5,maestro,0.7408,0.7054,0.7227
Chopin,Scherzos_31,train,LinTami06M,oaf,maestro,0.7044,0.656,0.6793
Chopin,Scherzos_31,train,LinTami06M,kong,maestro,0.9125,0.8876,0.8999
Chopin,Scherzos_31,train,LinTami06M,kong,disklavier,0.759,0.7596,0.7593
Chopin,Scherzos_31,train,LinTami06M,oaf,disklavier,0.5983,0.5672,0.5823
Chopin,Scherzos_31,train,LinTami06M,T5,disklavier,0.4769,0.481,0.4789
Chopin,Scherzos_31,train,LuoJ12M,oaf,maestro,0.7372,0.7209,0.729
Chopin,Scherzos_31,train,LuoJ12M,kong,maestro,0.9313,0.9251,0.9282
