composer,title,split,performer,model,recording,melody_ioi_corr,acc_ioi_corr,ratio_ioi_corr,melody_ioi_dtw_dist,acc_ioi_dtw_dist,melody_ioi_hist_kld,acc_ioi_hist_kld
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,T5,disklavier,-0.0015,0.2311,0.0,3830.0,8968.0,1.3046,0.9495
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,oaf,disklavier,0.3596,0.4376,0.0,990.0,3927.0,0.3747,2.2896
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,kong,disklavier,0.4264,0.2425,0.0,869.0,3316.0,1.3761,1.1612
Bach,Fugue_bwv_848,train,Denisova06M,oaf,maestro,0.1031,0.0153,0.0,224.0,321.0,0.5821,2.783
Bach,Fugue_bwv_848,train,Denisova06M,kong,maestro,0.5487,0.2515,0.0,116.0,172.0,0.0435,0.2091
Bach,Fugue_bwv_848,train,Denisova06M,T5,maestro,0.0772,0.0368,0.0,958.0,898.0,0.382,0.2322
Bach,Fugue_bwv_848,train,Denisova06M,oaf,disklavier,0.1823,-0.1314,0.0,213.0,309.0,0.6433,3.0316
Bach,Fugue_bwv_848,train,Denisova06M,T5,disklavier,0.1352,-0.095,0.0,229.0,1020.0,0.7543,0.5667
Bach,Fugue_bwv_848,train,Denisova06M,kong,disklavier,0.2439,-0.046,0.0,104.0,160.0,0.3746,0.5932
Bach,Fugue_bwv_848,train,Lin04M,oaf,maestro,0.0719,0.0255,0.0,206.0,331.0,1.845,3.6927
Bach,Fugue_bwv_848,train,Lin04M,kong,maestro,0.4848,0.2966,0.0,106.0,175.0,0.719,0.2483
Bach,Fugue_bwv_848,train,Lin04M,T5,maestro,0.1886,0.2002,0.0,445.0,400.0,0.6934,0.1253
Bach,Fugue_bwv_848,train,Lin04M,T5,disklavier,0.1731,-0.0195,0.0,342.0,462.0,2.0422,0.6803
Bach,Fugue_bwv_848,train,Lin04M,kong,disklavier,0.3662,0.0076,0.0,127.0,200.0,0.8323,0.7842
Bach,Fugue_bwv_848,train,Lin04M,oaf,disklavier,0.3179,-0.0205,0.0,203.0,324.0,1.8365,1.9519
Bach,Fugue_bwv_848,train,Lou01M,kong,maestro,0.5556,0.2386,0.0,113.0,174.0,0.8543,0.2538
Bach,Fugue_bwv_848,train,Lou01M,T5,maestro,0.2174,-0.0127,0.0,646.0,1096.0,0.2574,0.459
Bach,Fugue_bwv_848,train,Lou01M,oaf,maestro,0.1057,0.1888,0.0,227.0,340.0,0.3468,5.4694
Bach,Fugue_bwv_848,train,Lou01M,T5,disklavier,0.2582,-0.1242,0.0,1462.0,794.0,0.5016,1.1707
Bach,Fugue_bwv_848,train,Lou01M,oaf,disklavier,0.4977,-0.1665,0.0,203.0,444.0,1.263,2.3319
