composer,title,split,model,recording,melody_ioi_corr,acc_ioi_corr,ratio_ioi_corr,melody_ioi_dtw_dist,acc_ioi_dtw_dist,melody_ioi_hist_kld,acc_ioi_hist_kld,reverb,snr
Chopin,Scherzos_31,train,oaf,disklavier,0.2016,0.2015,0.0,4385.0,27261.0,3.5367,6.5234,l,24
Chopin,Scherzos_31,train,T5,disklavier,0.0966,0.1639,0.0,9302.0,98802.0,nan,4.6334,l,12
Chopin,Scherzos_31,train,kong,disklavier,0.1598,0.1966,0.0,4155.0,21913.0,5.4117,1.7174,l,12
Chopin,Scherzos_31,train,oaf,disklavier,0.0651,0.2037,0.0,5981.0,32002.0,3.8761,6.5577,l,12
Chopin,Scherzos_31,train,T5,disklavier,0.1854,0.1949,0.0,11520.0,177808.0,nan,6.0054,l,6
Chopin,Scherzos_31,train,kong,disklavier,0.1427,0.1627,0.0,3826.0,17500.0,5.8115,4.3919,l,6
Chopin,Scherzos_31,train,oaf,disklavier,-0.0819,0.0839,0.0,7274.0,38668.0,3.7621,6.6771,l,6
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.1607,0.2922,0.0,6635.0,37098.0,1.8304,0.1556,norev,nonoise
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.5874,0.5766,0.0,1201.0,6547.0,0.8355,0.0698,norev,nonoise
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.7032,0.743,0.0,1842.0,8804.0,2.5827,7.7038,norev,nonoise
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.1646,0.289,0.0,8844.0,54801.0,1.9835,0.1404,norev,24
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.5887,0.3855,0.0,2080.0,11010.0,1.6578,0.0709,norev,24
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.7064,0.6714,0.0,1926.0,9542.0,2.5974,7.695,norev,24
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0772,0.0739,0.0,7690.0,44948.0,3.1349,0.1764,norev,12
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.294,0.15,0.0,3657.0,19961.0,1.2494,0.1001,norev,12
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.662,0.5496,0.0,2404.0,12163.0,2.8449,7.7523,norev,12
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0814,0.0534,0.0,7366.0,63728.0,5.5272,0.7052,norev,6
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.0917,0.0566,0.0,4125.0,23467.0,1.3572,0.1377,norev,6
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.5082,0.3662,0.0,3482.0,16295.0,3.1528,7.7937,norev,6
Liszt,Transcendental_Etudes_11,test,T5,maestro,-0.0128,0.152,0.0,10978.0,44889.0,2.5864,0.313,s,nonoise
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.4127,0.0861,0.0,1798.0,9900.0,1.312,0.3715,s,nonoise
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.5597,0.4379,0.0,2468.0,10605.0,2.616,7.8704,s,nonoise
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.1232,0.204,0.0,8625.0,43385.0,2.7846,0.2935,s,24
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.564,0.3372,0.0,3354.0,16280.0,0.9012,0.3235,s,24
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.6031,0.3651,0.0,3032.0,12027.0,2.7519,7.8828,s,24
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.1183,0.0542,0.0,6281.0,48762.0,4.3304,0.3473,s,12
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.1931,0.1467,0.0,4311.0,23676.0,2.2644,0.2469,s,12
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.5191,0.3622,0.0,3741.0,16417.0,2.4363,7.8185,s,12
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0731,0.0448,0.0,6654.0,55360.0,16.0362,2.4725,s,6
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.0501,0.0659,0.0,4820.0,24877.0,2.3918,0.5307,s,6
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.461,0.3041,0.0,4419.0,19901.0,2.4968,7.7979,s,6
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.2301,0.101,0.0,9669.0,74270.0,4.0547,0.8139,m,nonoise
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.0823,0.1129,0.0,4746.0,31023.0,2.7015,0.821,m,nonoise
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.4178,0.3522,0.0,3356.0,15023.0,2.936,7.6845,m,nonoise
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.091,0.0359,0.0,7564.0,61687.0,4.738,0.4739,m,24
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.2709,0.3188,0.0,5583.0,38505.0,3.1202,0.6006,m,24
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.4002,0.3188,0.0,3225.0,16418.0,2.961,7.6778,m,24
Liszt,Transcendental_Etudes_11,test,T5,maestro,-0.0552,0.0539,0.0,7132.0,89133.0,nan,2.1361,m,12
Liszt,Transcendental_Etudes_11,test,kong,maestro,-0.1897,0.0554,0.0,5912.0,56205.0,3.7916,0.6703,m,12
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.4008,0.3475,0.0,4954.0,22345.0,2.8112,7.6238,m,12
Liszt,Transcendental_Etudes_11,test,T5,maestro,-0.2163,0.225,0.0,7490.0,167247.0,nan,2.6428,m,6
