composer,title,split,model,recording,melody_ioi_corr,acc_ioi_corr,ratio_ioi_corr,melody_ioi_dtw_dist,acc_ioi_dtw_dist,melody_ioi_hist_kld,acc_ioi_hist_kld,reverb,snr
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.1303,0.1383,0.0,4126.0,23467.0,0.6187,0.2885,norev,6
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.4635,0.2296,0.0,3483.0,16295.0,2.7072,5.7775,norev,6
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.1652,0.5933,0.0,10978.0,44889.0,1.3198,0.1811,s,nonoise
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.8419,0.8472,0.0,1800.0,9900.0,1.0536,0.5432,s,nonoise
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.5323,0.3999,0.0,2469.0,10605.0,2.124,5.8182,s,nonoise
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.1628,0.3061,0.0,8614.0,43385.0,2.0933,0.2052,s,24
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.6017,0.3707,0.0,3350.0,16282.0,2.0234,0.545,s,24
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.5175,0.5794,0.0,3045.0,12025.0,2.4199,5.8734,s,24
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.1941,0.0387,0.0,6281.0,48762.0,6.8505,0.151,s,12
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.1414,0.1823,0.0,4323.0,23676.0,2.791,0.6115,s,12
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.5716,0.2462,0.0,3725.0,16417.0,2.8254,5.8324,s,12
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.1329,0.2333,0.0,6652.0,55360.0,10.0096,2.2933,s,6
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.0515,0.0184,0.0,4824.0,24877.0,3.265,0.6035,s,6
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.3914,0.2394,0.0,4422.0,19901.0,1.2363,6.1646,s,6
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.2493,0.3716,0.0,9685.0,74270.0,5.1156,0.573,m,nonoise
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.5692,0.6086,0.0,4755.0,31023.0,3.0235,0.6432,m,nonoise
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.5267,0.6702,0.0,3334.0,15023.0,2.1008,5.4879,m,nonoise
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.1186,0.1387,0.0,7569.0,61687.0,6.9636,0.7766,m,24
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.2849,0.2247,0.0,5570.0,38505.0,2.6261,0.6536,m,24
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.5788,0.6134,0.0,3218.0,16418.0,1.9992,5.4628,m,24
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.9699,0.1142,0.0,7131.0,89133.0,16.7495,4.7265,m,12
Liszt,Transcendental_Etudes_11,test,kong,maestro,-0.0222,0.1269,0.0,5923.0,56205.0,7.077,0.734,m,12
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.5917,0.2405,0.0,4952.0,22345.0,2.5704,5.6848,m,12
Liszt,Transcendental_Etudes_11,test,T5,maestro,-0.0026,0.0671,0.0,7490.0,167247.0,16.1478,6.2349,m,6
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.2989,0.1361,0.0,6033.0,41577.0,7.6506,1.0396,m,6
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.1092,0.0414,0.0,6331.0,35597.0,3.3816,4.8768,m,6
Liszt,Transcendental_Etudes_11,test,T5,maestro,-0.0073,0.1922,0.0,8630.0,246601.0,9.3733,1.3443,l,nonoise
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.1214,0.4447,0.0,7827.0,115268.0,4.6227,1.3365,l,nonoise
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.5429,0.6269,0.0,4804.0,29530.0,3.2104,3.8895,l,nonoise
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0963,0.0483,0.0,8275.0,110249.0,8.3082,1.2696,l,24
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.2312,0.1538,0.0,6295.0,64099.0,4.7003,1.182,l,24
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.5035,0.7092,0.0,5009.0,27955.0,3.1368,3.9121,l,24
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0932,0.1549,0.0,5858.0,73142.0,12.96,3.0973,l,12
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.2048,0.0603,0.0,5589.0,51402.0,4.771,1.2604,l,12
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.4076,0.348,0.0,4675.0,28953.0,2.4161,4.3035,l,12
